tip_label,lifestyle,source
Nmoss2,bryophyte_associated,public
Nmoss3,bryophyte_associated,public
Nmoss4,bryophyte_associated,public
Nostoc_KVJ10,bryophyte_associated,public
Nostoc_KVJ2,bryophyte_associated,public
Nostoc_KVS11,bryophyte_associated,public
Nostoc_calcicola_FACHB_389,Free-living,public
Nostoc_commune_NIES_4072,NA,public
Nostoc_flagelliforme_CCNUN1,Free-living,public
Nostoc_linckia_NIES_25,Free-living,public
Nostoc_linckia_z4,Free-living,public
Nostoc_punctiforme_PCC_73102,cycad_symbiont,public
Nostoc_sp_ATCC_53789_v2,NA,public
Nostoc_sp_B_2019,Free-living,public
Nostoc_sp_JC1668,cycad_symbiont,public
Nostoc_sp_KVJ20,bryophyte_associated,public
Nostoc_sp_Lobaria_pulmonaria_5183,lichenized,public
Nostoc_sp_Peltigera_malacea_cyanobiont_DB3992,lichenized,public
Nostoc_sp_Peltigera_membranacea_cyanobiont_210A,lichenized,public
Nostoc_sp_Peltigera_membranacea_cyanobiont_213,lichenized,public
Nostoc_sp_Peltigera_membranacea_cyanobiont_232,lichenized,public
Nostoc_sp_Peltigera_membranacea_cyanobiont_N6,lichenized,public
Nostoc_sphaeroides_CCNUC1,Free-living,public
Nostoc_sphaeroides_Kutzing,Free-living,public
Nostoc_punctiforme_NIES_2108,lichenized,public
Nostoc_sp_ATCC_43529,Free-living,public
Nostoc_commune_HK_02,Free-living,public
Nostoc_sp_HG1,Free-living,public
Nostoc_sp_GBBB01,Free-living,public
Nostoc_sp_LPT,lichenized,public
Nostoc_indistinguendum_CM1_VF10,Free-living,public
Nostoc_desertorum_CM1_VF14,Free-living,public
Nostoc_sp_CCCryo_231_06,Free-living,public
Nostoc_sp_unclutured,lichenized,public
Nostoc_sp_TCL240_02,bryophyte_associated,public
Nostoc_sp_C052,bryophyte_associated,public
Nostoc_sp_C057,bryophyte_associated,public
Nostoc_edaphicum_CCNP1411,Free-living,public
Nostoc_sp_2RC,azolla_symbiont,public
Nostoc_sp_UCD120,azolla_symbiont,public
Nostoc_sp_UCD121,azolla_symbiont,public
Nostoc_sp_FACHB_888,Free-living,public
Nostoc_calcicola_FACHB_3891,Free-living,public
Nostoc_sp_FACHB_133,Free-living,public
Nostoc_flagelliforme_FACHB_838,Free-living,public
Nostoc_sp_FACHB_973,Free-living,public
Nostoc_punctiforme_FACHB_252,Free-living,public
Nostoc_foliaceum_FACHB_393,Free-living,public
Nostoc_linckia_FACHB_391,NA,public
Nostoc_sp_FACHB_857,Free-living,public
Nostoc_sp_FACHB_892,Free-living,public
Nostoc_paludosum_FACHB_159,Free-living,public
Nostoc_sp_MG11,Free-living,public
Nostoc_sp_LEGE_12450,cycad_symbiont,public
Nostoc_sp_LEGE_12447,cycad_symbiont,public
Nostoc_cf_edaphicum_LEGE_07299,Free-living,public
Nostoc_sp_NZL,Free-living,public
Nostoc_commune_BAE,Free-living,public
Nostoc_sp_CHAB_5836,Free-living,public
Nostoc_sp_XA010,Free-living,public
Nostoc_mirabile_CHAB5784,Free-living,public
Nostoc_sp_KVJ3,bryophyte_associated,public
Nostoc_sp_UHCC_0926,lichenized,public
3_bin_5,lichenized,public
