sample_id	taxon_name	host_family	host_genus	radiation	substrate_type	lifestyle	country	locality	voucher	accession	reference	substrate_notes
3	Peltigera_ponojensis_monticola_9	peltigeraceae	peltigera	no	terricolous	symbiotic					This study	
8274	Peltigera_scabrosa_2	peltigeraceae	peltigera	no	terricolous	symbiotic					This study	
8277	Peltigera_aubertii	peltigeraceae	peltigera	no	terricolous	symbiotic	Chile				This study	
Aphanizomenon_flos_aquae_NIES_81	Aphanizomenon_flos_aquae_NIES_81	NA	NA	no	aquatic	Free-living	Japan	Lake Kasumiguara	NA	NZ_AZYY00000000.1 	Cao et al. 2014	Fresh water
Anabaena_cylindrica_PCC_7122	Anabaena_cylindrica_PCC_7122	NA	NA	no	aquatic	Free-living	United Kingdom	Cambridge	NA	NC_019771.1	Shih et al. 2013	
Cylindrospermum_stagnale_PCC_7417	Cylindrospermum_stagnale_PCC_7417	NA	NA	no	terricolous	Free-living	Sweden	Stockholm	NA	NC_019757.1	Shih et al. 2013	Soil in greenhouse
JL23	Peltigera_aphthosa_JL23	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	Alberta	NA		Cornet et al. 2021	
JL31	Peltigera_extenuata_JL31	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	Alberta	NA		Cornet et al. 2021	
JL33	Peltigera_malacea_JL33	peltigeraceae	peltigera	no	terricolous	symbiotic	Canada	Alberta	NA		Cornet et al. 2021	
JL34	Peltigera_evansiana_JL34	peltigeraceae	peltigera	no	terricolous	symbiotic	United States of America	Michigan	NA		Cornet et al. 2021	
Nmoss2	Pleurozium_schreberi_Nmoss2	hylocomiaceae	pleurozium	no	terricolous	symbiotic	Sweden	"Ruttjeheden, Reivo forest, Northern Sweden (65?800N–19?100E)"	NA	JGI 1042295	Warshan et al. 2018	
Nmoss3	Pleurozium_schreberi_Nmoss3	hylocomiaceae	pleurozium	no	terricolous	symbiotic	Sweden	"Ruttjeheden, Reivo forest, Northern Sweden (65?800N–19?100E)"	NA	JGI 1042307	Warshan et al. 2018	
Nmoss4	Pleurozium_schreberi_Nmoss4	hylocomiaceae	pleurozium	no	terricolous	symbiotic	Sweden	"Ruttjeheden, Reivo forest, Northern Sweden (65?800N–19?100E)"	NA	NA	Warshan et al. 2018	
