# BUSCO version is: 4.0.5 
# The lineage dataset is: cyanobacteria_odb10 (Creation date: 2019-04-24, number of species: 140, number of BUSCOs: 773)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
105at1117	Complete	Anabaena_cylindrica_PCC_7122_2593	2949381	2953541	1538.5	963	https://www.orthodb.org/v10?query=105at1117	DNA-directed RNA polymerase subunit beta'
146at1117	Complete	Anabaena_cylindrica_PCC_7122_2498	2831762	2836465	2114.0	1244	https://www.orthodb.org/v10?query=146at1117	glutamate synthase subunit alpha
149at1117	Complete	Anabaena_cylindrica_PCC_7122_682	812284	816270	2177.4	1112	https://www.orthodb.org/v10?query=149at1117	magnesium chelatase
184at1117	Complete	Anabaena_cylindrica_PCC_7122_2686	3054215	3057745	1862.4	1010	https://www.orthodb.org/v10?query=184at1117	methionine synthase
195at1117	Complete	Anabaena_cylindrica_PCC_7122_2595	2955892	2959248	1776.1	894	https://www.orthodb.org/v10?query=195at1117	DNA-directed RNA polymerase subunit beta
258at1117	Complete	Anabaena_cylindrica_PCC_7122_2693	3063497	3066793	1638.6	904	https://www.orthodb.org/v10?query=258at1117	carbamoyl phosphate synthase large subunit
278at1117	Complete	Anabaena_cylindrica_PCC_7122_4603	5193765	5197271	1520.8	907	https://www.orthodb.org/v10?query=278at1117	Transcription-repair-coupling factor
378at1117	Complete	Anabaena_cylindrica_PCC_7122_3632	4132577	4135459	1322.7	777	https://www.orthodb.org/v10?query=378at1117	isoleucine--tRNA ligase
390at1117	Complete	Anabaena_cylindrica_PCC_7122_3663	4169324	4173004	1159.8	1241	https://www.orthodb.org/v10?query=390at1117	chromosome segregation protein SMC
530at1117	Complete	Anabaena_cylindrica_PCC_7122_533	653373	656393	1347.7	759	https://www.orthodb.org/v10?query=530at1117	valine--tRNA ligase
649at1117	Complete	Anabaena_cylindrica_PCC_7122_2361	2658423	2661392	1427.1	774	https://www.orthodb.org/v10?query=649at1117	excinuclease ABC subunit A
791at1117	Complete	Anabaena_cylindrica_PCC_7122_5115	5769620	5772250	1460.6	770	https://www.orthodb.org/v10?query=791at1117	aconitate hydratase B
854at1117	Complete	Anabaena_cylindrica_PCC_7122_4827	5446104	5448740	1189.8	719	https://www.orthodb.org/v10?query=854at1117	DNA topoisomerase I
