# BUSCO version is: 4.1.3 
# The lineage dataset is: nostocales_odb10 (Creation date: 2020-03-06, number of species: 32, number of BUSCOs: 1899)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length	OrthoDB url	Description
28at1161	Complete	Anabaena_cylindrica_PCC_7122_2498	2831762	2836465	2742.7	1364	https://www.orthodb.org/v10?query=28at1161	glutamate synthase
40at1161	Complete	Anabaena_cylindrica_PCC_7122_682	812284	816270	2513.2	1200	https://www.orthodb.org/v10?query=40at1161	magnesium chelatase
70at1161	Complete	Anabaena_cylindrica_PCC_7122_3739	4263672	4267406	2242.5	1103	https://www.orthodb.org/v10?query=70at1161	magnesium chelatase subunit H
78at1161	Complete	Anabaena_cylindrica_PCC_7122_2593	2949381	2953541	2245.6	1149	https://www.orthodb.org/v10?query=78at1161	DNA-directed RNA polymerase subunit beta'
88at1161	Complete	Anabaena_cylindrica_PCC_7122_2686	3054215	3057745	2172.4	1060	https://www.orthodb.org/v10?query=88at1161	methionine synthase
97at1161	Complete	Anabaena_cylindrica_PCC_7122_2595	2955892	2959248	2009.6	947	https://www.orthodb.org/v10?query=97at1161	DNA-directed RNA polymerase subunit beta
118at1161	Complete	Anabaena_cylindrica_PCC_7122_4603	5193765	5197271	1938.5	993	https://www.orthodb.org/v10?query=118at1161	Transcription-repair-coupling factor
121at1161	Complete	Anabaena_cylindrica_PCC_7122_2894	3297951	3301940	1937.0	1079	https://www.orthodb.org/v10?query=121at1161	cobaltochelatase subunit CobN
123at1161	Complete	Anabaena_cylindrica_PCC_7122_1745	2000583	2003975	1986.2	990	https://www.orthodb.org/v10?query=123at1161	photosystem I reaction center subunit X
135at1161	Complete	Anabaena_cylindrica_PCC_7122_2693	3063497	3066793	1925.2	958	https://www.orthodb.org/v10?query=135at1161	Carbamoyl-phosphate synthase large chain
188at1161	Complete	Anabaena_cylindrica_PCC_7122_3752	4281702	4284908	1782.1	922	https://www.orthodb.org/v10?query=188at1161	glycosyl hydrolase family 15
220at1161	Complete	Anabaena_cylindrica_PCC_7122_2361	2658423	2661392	1717.2	853	https://www.orthodb.org/v10?query=220at1161	UvrABC system protein A
222at1161	Complete	Anabaena_cylindrica_PCC_7122_1953	2226809	2229781	1871.5	897	https://www.orthodb.org/v10?query=222at1161	L-glutamate gamma-semialdehyde dehydrogenase
227at1161	Complete	Anabaena_cylindrica_PCC_7122_2721	3093214	3096807	1133.8	630	https://www.orthodb.org/v10?query=227at1161	DNA gyrase subunit B
235at1161	Complete	Anabaena_cylindrica_PCC_7122_3632	4132577	4135459	1667.9	840	https://www.orthodb.org/v10?query=235at1161	isoleucine--tRNA ligase
252at1161	Complete	Anabaena_cylindrica_PCC_7122_2793	3182903	3185824	1625.3	866	https://www.orthodb.org/v10?query=252at1161	DNA polymerase I
256at1161	Complete	Anabaena_cylindrica_PCC_7122_533	653373	656393	1718.6	873	https://www.orthodb.org/v10?query=256at1161	valine--tRNA ligase
272at1161	Complete	Anabaena_cylindrica_PCC_7122_636	772691	775582	1744.6	842	https://www.orthodb.org/v10?query=272at1161	glycine dehydrogenase (aminomethyl-transferring)
284at1161	Complete	Anabaena_cylindrica_PCC_7122_2542	2882530	2885094	1728.4	796	https://www.orthodb.org/v10?query=284at1161	alpha-glucan phosphorylase
289at1161	Complete	Anabaena_cylindrica_PCC_7122_3641	4141284	4143914	1647.6	799	https://www.orthodb.org/v10?query=289at1161	DNA polymerase III subunit alpha
299at1161	Complete	Anabaena_cylindrica_PCC_7122_2415	2739092	2742217	1441.5	825	https://www.orthodb.org/v10?query=299at1161	alpha-mannosidase
305at1161	Complete	Anabaena_cylindrica_PCC_7122_962	1138999	1142025	1809.6	880	https://www.orthodb.org/v10?query=305at1161	phosphoenolpyruvate carboxylase
321at1161	Complete	Anabaena_cylindrica_PCC_7122_5115	5769620	5772250	1606.4	784	https://www.orthodb.org/v10?query=321at1161	aconitate hydratase B
324at1161	Complete	Anabaena_cylindrica_PCC_7122_3423	3891743	3894322	1533.9	762	https://www.orthodb.org/v10?query=324at1161	leucine--tRNA ligase
330at1161	Complete	Anabaena_cylindrica_PCC_7122_5141	5799086	5801875	1792.2	847	https://www.orthodb.org/v10?query=330at1161	Protein translocase subunit SecA
338at1161	Complete	Anabaena_cylindrica_PCC_7122_2624	2987913	2991128	1692.6	944	https://www.orthodb.org/v10?query=338at1161	cation transporter
355at1161	Complete	Anabaena_cylindrica_PCC_7122_3663	4169324	4173004	1941.2	1107	https://www.orthodb.org/v10?query=355at1161	chromosome segregation protein SMC
369at1161	Complete	Anabaena_cylindrica_PCC_7122_320	391277	393805	1509.3	751	https://www.orthodb.org/v10?query=369at1161	mannose-1-phosphate guanylyltransferase
374at1161	Complete	Anabaena_cylindrica_PCC_7122_4755	5367494	5369785	1431.5	675	https://www.orthodb.org/v10?query=374at1161	1,4-alpha-glucan branching enzyme
376at1161	Complete	Anabaena_cylindrica_PCC_7122_1893	2149027	2151726	1448.0	757	https://www.orthodb.org/v10?query=376at1161	glycoside hydrolase
387at1161	Complete	Anabaena_cylindrica_PCC_7122_3432	3903298	3906138	925.5	439	https://www.orthodb.org/v10?query=387at1161	Replicative DNA helicase
407at1161	Complete	Anabaena_cylindrica_PCC_7122_3445	3919860	3922445	1398.5	736	https://www.orthodb.org/v10?query=407at1161	aminopeptidase
412at1161	Complete	Anabaena_cylindrica_PCC_7122_4322	4863888	4866362	1589.3	730	https://www.orthodb.org/v10?query=412at1161	ATP-dependent Clp protease ATP-binding subunit ClpC
416at1161	Complete	Anabaena_cylindrica_PCC_7122_2909	3319994	3322852	1597.8	822	https://www.orthodb.org/v10?query=416at1161	P-type ATPase
418at1161	Complete	Anabaena_cylindrica_PCC_7122_3029	3432373	3434865	1539.7	765	https://www.orthodb.org/v10?query=418at1161	DNA mismatch repair protein MutS
421at1161	Complete	Anabaena_cylindrica_PCC_7122_2651	3013489	3016188	1685.3	810	https://www.orthodb.org/v10?query=421at1161	cyanophycin synthetase
436at1161	Complete	Anabaena_cylindrica_PCC_7122_4382	4929095	4931353	1534.3	699	https://www.orthodb.org/v10?query=436at1161	Photosystem I P700 chlorophyll a apoprotein A1
461at1161	Complete	Anabaena_cylindrica_PCC_7122_1974	2254262	2256922	1606.4	781	https://www.orthodb.org/v10?query=461at1161	DNA gyrase subunit A
462at1161	Complete	Anabaena_cylindrica_PCC_7122_2483	2813223	2815955	1430.4	778	https://www.orthodb.org/v10?query=462at1161	B12-binding protein
479at1161	Complete	Anabaena_cylindrica_PCC_7122_4827	5446104	5448740	1392.7	740	https://www.orthodb.org/v10?query=479at1161	DNA topoisomerase I
506at1161	Complete	Anabaena_cylindrica_PCC_7122_3093	3516438	3519110	1445.4	767	https://www.orthodb.org/v10?query=506at1161	DEAD/DEAH box helicase
518at1161	Complete	Anabaena_cylindrica_PCC_7122_3338	3792643	3795285	1618.7	809	https://www.orthodb.org/v10?query=518at1161	alanine--tRNA ligase
533at1161	Complete	Anabaena_cylindrica_PCC_7122_3353	3808077	3811523	1278.3	792	https://www.orthodb.org/v10?query=533at1161	Histidine kinase
538at1161	Complete	Anabaena_cylindrica_PCC_7122_3280	3736216	3738450	1332.8	660	https://www.orthodb.org/v10?query=538at1161	glycoside hydrolase
546at1161	Complete	Anabaena_cylindrica_PCC_7122_939	1111918	1114326	1368.6	697	https://www.orthodb.org/v10?query=546at1161	bile acid beta-glucosidase
558at1161	Complete	Anabaena_cylindrica_PCC_7122_4801	5416451	5419147	1388.8	767	https://www.orthodb.org/v10?query=558at1161	poly(A) polymerase
559at1161	Complete	Anabaena_cylindrica_PCC_7122_2376	2676813	2679143	1388.6	712	https://www.orthodb.org/v10?query=559at1161	ATP-dependent DNA helicase
563at1161	Complete	Anabaena_cylindrica_PCC_7122_5035	5684787	5687285	1418.6	720	https://www.orthodb.org/v10?query=563at1161	ATP-dependent Clp protease ATP-binding subunit ClpC
584at1161	Complete	Anabaena_cylindrica_PCC_7122_2853	3244006	3247140	1397.3	969	https://www.orthodb.org/v10?query=584at1161	translation initiation factor IF-2
589at1161	Complete	Anabaena_cylindrica_PCC_7122_4472	5045156	5048029	1420.0	842	https://www.orthodb.org/v10?query=589at1161	pyruvate phosphate dikinase PEP/pyruvate-binding protein
606at1161	Complete	Anabaena_cylindrica_PCC_7122_2840	3228837	3231860	1489.8	898	https://www.orthodb.org/v10?query=606at1161	Exonuclease SbcC
624at1161	Complete	Anabaena_cylindrica_PCC_7122_714	847742	850225	1391.2	722	https://www.orthodb.org/v10?query=624at1161	peptidase U32
625at1161	Complete	Anabaena_cylindrica_PCC_7122_348	422938	425373	1329.1	711	https://www.orthodb.org/v10?query=625at1161	phenylalanine--tRNA ligase subunit beta
